Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,9.407407,10.666667,9.148148,10.518519,3.013717,6647743
1985-02-01,10.481481,10.666667,10.111111,10.222222,2.928822,5112792
1985-03-01,10.148148,10.481481,9.185185,9.592593,2.748424,4213354
1985-04-01,9.629630,9.814815,9.185185,9.222222,2.664931,3461405
1985-05-01,9.185185,10.037037,9.074074,9.740741,2.814767,3706095
1985-06-01,9.740741,10.148148,9.333333,9.925926,2.868279,4995004
1985-07-01,9.888889,10.000000,9.037037,9.518519,2.775943,6843493
1985-08-01,9.592593,9.703704,8.925926,9.148148,2.667929,5038205
1985-09-01,9.185185,9.370370,9.037037,9.259259,2.700333,3818817
1985-10-01,9.333333,9.481481,9.037037,9.222222,2.715479,3957192
1985-11-01,9.185185,10.148148,9.111111,10.037037,2.955399,6358166
1985-12-01,9.962963,11.333333,9.777778,11.296296,3.326187,7304180
1986-01-01,11.259259,11.296296,10.481481,10.851852,3.223289,4306844
1986-02-01,10.814815,12.074074,10.703704,11.555556,3.432308,5493492
1986-03-01,11.555556,13.333333,11.074074,12.814815,3.806339,5827279
1986-04-01,12.814815,13.333333,12.111111,13.111111,3.926883,5805342
1986-05-01,13.074074,14.333333,12.740741,14.074074,4.215297,4562667
1986-06-01,14.074074,14.259259,13.185185,13.592593,4.071090,4249806
1986-07-01,13.629630,14.148148,12.888889,13.481481,4.037810,4908944
1986-08-01,13.370370,13.703704,12.925926,13.703704,4.104366,4227531
1986-09-01,13.370370,13.703704,11.851852,12.296296,3.682838,5082418
1986-10-01,12.370370,13.259259,12.296296,12.888889,3.887218,3198154
1986-11-01,12.962963,14.000000,12.481481,13.333333,4.021261,4012878
1986-12-01,13.481481,13.925926,12.666667,12.777778,3.853708,5789480
1987-01-01,12.814815,15.111111,12.814815,15.111111,4.589356,5695656
1987-02-01,15.037037,15.666667,13.962963,15.074074,4.578105,4308868
1987-03-01,15.111111,16.074074,14.740741,15.037037,4.566857,5332505
1987-04-01,14.925926,16.000000,14.666667,15.111111,4.620309,6171531
1987-05-01,15.148148,15.833333,14.037037,15.388889,4.705241,5066668
