Date,Open,High,Low,Close,Adj Close,Volume
1996-11-01,38.273941,43.036850,38.082554,42.866768,13.219493,32360775
1996-12-01,42.739178,45.248310,41.676037,45.141930,13.921120,25635779
1997-01-01,45.141930,51.010647,44.057487,49.628540,15.304729,46068061
1997-02-01,49.968727,53.477196,49.968727,52.052502,16.052240,27447024
1997-03-01,52.052502,58.771690,51.946205,56.539116,17.435848,37966443
1997-04-01,54.986824,59.239548,51.563427,54.540333,16.819452,48617513
1997-05-01,54.540333,58.792976,54.540333,56.198849,17.330915,31911120
1997-06-01,55.922459,61.280823,55.922459,59.792328,18.439091,31342434
1997-07-01,60.132599,68.085014,60.026299,65.001900,20.045649,46723306
1997-08-01,65.065681,65.490952,55.922459,56.135052,17.311243,48640957
1997-09-01,56.773003,62.386467,54.008762,61.429623,18.944010,121792397
1997-10-01,60.812965,62.939327,45.779881,49.245770,15.186686,127253757
1997-11-01,49.968727,53.817387,46.226360,53.370815,16.458796,82591162
1997-12-01,53.796085,55.837360,48.182632,53.583492,16.524378,17698875
1998-01-01,53.583492,57.623539,49.841137,54.434036,16.786674,26431091
1998-02-01,54.646633,63.959965,54.348957,62.875526,19.389908,35168116
1998-03-01,63.109421,74.549110,63.066917,72.401451,22.327562,53468142
1998-04-01,72.295158,84.202789,72.082565,75.633530,23.324293,46095713
1998-05-01,75.633530,92.282379,74.421509,75.633530,23.324293,125136529
1998-06-01,75.633530,78.270180,69.275826,74.634102,23.016081,65233734
1998-07-01,75.059380,80.545334,72.933105,77.249535,23.822645,75762768
1998-08-01,76.547798,78.674149,65.065681,67.702324,20.878422,61511451
1998-09-01,65.490952,70.764244,58.814278,59.111958,18.229279,56363850
1998-10-01,57.942432,61.217030,43.844894,55.497185,17.114532,63388781
1998-11-01,56.050037,70.041290,54.667934,67.425858,20.793163,126610635
1998-12-01,66.298920,71.444611,60.600372,69.530922,21.442333,134399114
1999-01-01,69.530922,78.350609,68.369644,76.470863,23.582516,78951536
1999-02-01,76.920006,77.169533,67.870590,72.362030,22.315411,55850428
1999-03-01,71.031235,72.985840,64.626778,66.997261,20.660990,85240853
1999-04-01,66.622971,79.673088,65.666466,76.978226,23.738972,76835216
1999-05-01,77.435692,78.849663,66.880814,69.118217,21.315060,54519498
1999-06-01,69.450912,72.528381,67.537895,70.723488,22.546028,67313583
1999-07-01,71.280762,74.682602,57.681686,61.549313,19.621380,80923040
1999-08-01,57.889622,62.281250,57.398891,61.125122,19.486149,74113792
1999-09-01,59.345181,62.256298,52.616344,54.396282,17.341051,85937129
1999-10-01,54.479458,62.089947,53.656029,61.175026,19.502062,66118334
1999-11-01,61.540997,62.089947,55.668858,56.226128,17.924395,56606945
1999-12-01,56.434067,65.292175,54.229935,63.711857,20.310781,70719678
2000-01-01,65.915985,66.514847,55.153175,55.228031,17.606209,71173809
2000-02-01,56.226128,58.846134,51.194057,58.222321,18.560762,69921214
2000-03-01,58.721371,59.802643,51.984215,56.575462,18.035757,122620738
2000-04-01,57.257496,59.910770,52.691200,53.356602,17.009615,50995124
2000-05-01,53.356602,54.629173,47.950241,48.490875,16.131697,51575351
2000-06-01,48.657227,51.160786,45.421730,45.438362,15.116201,73036302
2000-07-01,45.787697,51.027706,45.588078,47.501099,15.802427,56153769
2000-08-01,47.659130,53.065487,46.577858,48.158176,16.021023,53496099
2000-09-01,48.282940,49.355892,41.545788,42.286041,14.067506,71963998
2000-10-01,41.978294,48.781990,41.254673,43.275822,14.396782,53531089
2000-11-01,45.247063,47.758938,36.605206,36.605206,12.177634,86897986
2000-12-01,37.012760,43.001343,35.515617,37.212379,12.379627,78957493
2001-01-01,37.212379,44.248966,35.989712,42.460709,14.125613,104003117
2001-02-01,42.111374,47.733986,40.339752,44.382046,14.764795,87119888
2001-03-01,44.664841,47.143448,39.341656,42.128010,14.014933,116361561
2001-04-01,41.803627,47.409603,40.464516,46.943829,15.617038,90875817
2001-05-01,46.943829,48.399384,43.966171,44.881092,15.735500,59713107
