Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,16.037125,16.601812,14.286594,15.754781,5.511377,10477476
1985-02-01,15.641844,20.498156,15.246563,20.385220,7.131210,7610180
1985-03-01,20.385220,20.385220,17.844126,19.425249,6.843274,6178859
1985-04-01,19.255844,22.135750,18.465281,20.780500,7.320707,7452572
1985-05-01,20.667562,21.684000,19.425249,21.062843,7.420175,7023133
1985-06-01,21.175781,23.942751,21.175781,23.547468,8.349935,7785943
1985-07-01,23.547468,25.580343,22.248688,22.869844,8.109649,11659988
1985-08-01,22.869844,24.902719,22.700438,24.676844,8.750412,5116325
1985-09-01,24.563906,24.620375,20.836969,21.175781,7.551680,5621916
1985-10-01,21.175781,21.853407,18.973499,19.312313,6.887132,7550194
1985-11-01,19.312313,20.949905,19.199375,19.989939,7.128788,7929384
1985-12-01,19.933470,21.175781,19.764063,19.933470,7.155185,7609076
1986-01-01,20.159344,21.119312,17.448845,19.086437,6.851140,7397898
1986-02-01,19.199375,20.554625,17.900595,20.328751,7.297071,9629662
1986-03-01,20.215813,23.321594,19.989939,22.305157,8.061794,10367238
1986-04-01,22.135750,22.869844,20.385220,22.135750,8.000564,8175982
1986-05-01,22.192219,22.756907,21.345188,22.474564,8.123022,3258882
1986-06-01,22.361626,22.756907,20.949905,22.587500,8.215863,2895625
1986-07-01,22.756907,23.208656,19.425249,20.215813,7.353199,4135475
1986-08-01,20.215813,21.458124,19.538189,20.949905,7.620213,4081683
1986-09-01,20.724031,20.949905,18.182938,19.989939,7.319297,5479801
1986-10-01,20.554625,22.248688,19.255844,21.345188,7.815523,9887547
1986-11-01,21.345188,21.345188,18.634687,19.255844,7.050513,8312563
1986-12-01,18.634687,19.481718,16.658281,17.731188,6.538143,9671942
1987-01-01,17.674719,19.199375,17.674719,18.126469,6.683896,7234753
1987-02-01,18.070000,21.175781,18.013531,20.328751,7.495960,9807417
1987-03-01,20.328751,23.039249,19.538189,22.418095,8.323284,13027117
1987-04-01,22.474564,23.773344,19.989939,20.159344,7.484671,10413948
1987-05-01,20.215813,20.498156,18.804094,19.538189,7.254052,5712673
1987-06-01,19.538189,20.441689,18.070000,18.634687,6.967640,7539125
1987-07-01,18.747625,22.022814,18.465281,21.684000,8.107800,8404427
1987-08-01,21.627531,23.095718,21.119312,21.796938,8.150026,7743222
1987-09-01,21.796938,22.361626,19.933470,21.119312,7.945306,4557167
1987-10-01,21.232250,21.853407,12.197250,13.608969,5.119836,8790925
1987-11-01,13.100750,14.568938,11.971375,12.197250,4.588730,5737688
1987-12-01,12.310188,12.705469,11.180813,11.519625,4.379907,8029883
1988-01-01,11.519625,14.512469,11.519625,14.512469,5.517821,5882898
1988-02-01,14.681875,14.851281,11.971375,12.705469,4.830780,6614276
1988-03-01,12.592531,14.568938,12.592531,13.496031,5.184764,5420696
1988-04-01,13.552500,14.286594,12.366656,12.987813,4.989525,5106806
1988-05-01,12.931344,13.496031,12.649000,13.326625,5.119688,4287992
1988-06-01,13.213688,13.665438,12.592531,13.496031,5.238960,5422689
1988-07-01,13.552500,14.625406,13.213688,14.117188,5.480087,6248589
1988-08-01,14.004250,14.117188,13.213688,13.496031,5.238960,4869506
1988-09-01,13.439563,14.060719,13.326625,13.947781,5.469245,3563254
1988-10-01,14.004250,15.754781,14.004250,15.528906,6.089243,4359268
1988-11-01,15.528906,16.206532,14.230125,14.681875,5.757102,5119866
1988-12-01,14.568938,14.568938,11.350219,12.536063,4.961125,9723298
1989-01-01,12.536063,12.931344,11.745500,12.027844,4.759998,9027337
1989-02-01,12.084313,12.705469,11.971375,12.649000,5.005818,4564915
1989-03-01,12.592531,13.439563,11.971375,12.423125,4.969435,6450027
1989-04-01,12.423125,12.874875,11.914906,12.140781,4.856496,8659436
1989-05-01,12.084313,12.310188,11.124344,11.180813,4.472493,7451690
1989-06-01,11.237281,12.423125,10.954938,11.801969,4.776072,6929720
1989-07-01,11.858438,12.253719,11.011406,11.689031,4.730370,6206310
1989-08-01,11.689031,11.689031,10.842000,10.954938,4.433292,7440177
1989-09-01,10.954938,11.011406,10.051438,10.390250,4.255588,5003874
1989-10-01,10.333781,10.503188,8.696188,8.922063,3.654254,6420808
1989-11-01,8.865594,8.922063,7.228000,7.792688,3.191689,7993360
1989-12-01,7.792688,8.470313,7.566813,7.905625,3.290241,6921305
1990-01-01,7.792688,8.413844,7.679750,8.187969,3.407749,3756058
1990-02-01,8.187969,8.187969,6.889188,7.284469,3.031723,7484226
1990-03-01,7.284469,8.018563,6.493906,6.663313,2.827492,5155285
1990-04-01,6.493906,7.792688,6.493906,6.945656,2.947300,8899392
1990-05-01,6.945656,8.187969,6.832719,8.075031,3.426536,7027780
1990-06-01,8.131500,9.147938,7.905625,8.357375,3.606453,6083676
1990-07-01,8.300906,8.526781,6.211563,6.493906,2.802311,5203986
1990-08-01,6.437438,7.792688,6.437438,7.566813,3.265301,8401549
1990-09-01,7.453875,7.962094,6.945656,7.002125,3.080295,4192143
1990-10-01,7.171531,7.623281,6.606844,6.719781,2.956089,6281129
1990-11-01,6.719781,7.849156,6.550375,7.679750,3.378388,9062756
1990-12-01,7.679750,8.865594,7.623281,7.849156,3.514478,6365024
1991-01-01,7.962094,9.712625,7.453875,9.656156,4.323568,8423245
1991-02-01,9.543219,12.084313,9.317344,11.632563,5.208507,13326841
1991-03-01,11.519625,13.496031,11.463156,13.044281,5.911546,6544107
1991-04-01,12.987813,13.439563,10.220844,11.067875,5.015855,9569675
1991-05-01,11.067875,11.237281,9.994969,11.124344,5.041450,3601551
1991-06-01,11.124344,12.423125,11.067875,11.463156,5.263653,3767793
1991-07-01,11.519625,13.778375,10.954938,13.439563,6.171179,4307692
1991-08-01,13.439563,14.117188,12.253719,12.649000,5.808166,5606420
1991-09-01,12.761938,12.987813,9.599688,10.503188,4.872831,6626895
1991-10-01,10.559656,12.084313,9.938500,11.914906,5.527782,3613283
1991-11-01,11.914906,11.914906,9.317344,9.543219,4.427465,4583731
1991-12-01,9.430281,11.914906,8.978531,11.858438,5.578084,4982401
1992-01-01,11.745500,12.084313,10.785531,11.293750,5.312462,5334146
1992-02-01,11.406688,12.140781,11.124344,11.519625,5.418708,2958716
1992-03-01,11.519625,11.745500,10.785531,10.842000,5.157535,2444714
1992-04-01,10.898469,12.366656,10.785531,11.858438,5.641054,2593470
1992-05-01,11.858438,12.197250,10.954938,11.293750,5.372434,2029223
1992-06-01,11.463156,12.027844,11.180813,11.858438,5.708545,2867958
1992-07-01,11.914906,12.818406,11.745500,12.761938,6.143477,2712119
1992-08-01,12.761938,12.761938,11.067875,11.237281,5.409522,2652796
1992-09-01,11.293750,11.632563,10.164375,11.011406,5.363895,3567680
1992-10-01,11.124344,11.858438,10.164375,11.576094,5.638967,2354843
1992-11-01,11.519625,13.044281,11.406688,12.931344,6.299138,2818595
1992-12-01,12.931344,15.754781,12.931344,15.415969,7.591147,6388711
