Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.046875,1.128906,0.988281,1.089844,0.510961,40284800
1985-02-01,1.089844,1.160156,1.078125,1.097656,0.514623,28726400
1985-03-01,1.109375,1.136719,1.007813,1.078125,0.505466,19299200
1985-04-01,1.078125,1.109375,1.019531,1.039063,0.487152,34819200
1985-05-01,1.046875,1.148438,1.046875,1.136719,0.532937,35648000
1985-06-01,1.136719,1.160156,1.066406,1.136719,0.532937,21750400
1985-07-01,1.136719,1.269531,1.136719,1.207031,0.565902,22544000
1985-08-01,1.207031,1.218750,1.167969,1.179688,0.553083,18041600
1985-09-01,1.179688,1.187500,1.089844,1.117188,0.523780,14649600
1985-10-01,1.117188,1.269531,1.117188,1.269531,0.595205,23868800
1985-11-01,1.269531,1.386719,1.238281,1.378906,0.646484,19043200
1985-12-01,1.378906,1.449219,1.328125,1.398438,0.655641,24556800
1986-01-01,1.398438,1.500000,1.398438,1.476563,0.692269,21062400
1986-02-01,1.476563,1.687500,1.449219,1.679688,0.787502,14806400
1986-03-01,1.679688,1.898438,1.671875,1.671875,0.783839,37099200
1986-04-01,1.671875,1.812500,1.531250,1.609375,0.754536,26288000
1986-05-01,1.609375,1.851563,1.546875,1.835938,0.860758,20499200
1986-06-01,1.835938,1.859375,1.679688,1.781250,0.835118,18793600
1986-07-01,1.796875,2.117188,1.609375,1.921875,0.901049,28992000
1986-08-01,1.914063,1.976563,1.843750,1.875000,0.879072,16102400
1986-09-01,1.875000,1.937500,1.703125,1.765625,0.827793,21300800
1986-10-01,1.765625,1.937500,1.750000,1.906250,0.893723,18254400
1986-11-01,1.906250,1.914063,1.726563,1.765625,0.827793,17824000
1986-12-01,1.757813,1.937500,1.640625,1.875000,0.879072,52673600
1987-01-01,1.875000,2.375000,1.851563,2.351563,1.102503,29262400
1987-02-01,2.351563,2.437500,2.171875,2.210938,1.036572,17833600
1987-03-01,2.218750,2.351563,2.101563,2.210938,1.036572,19398400
1987-04-01,2.210938,2.359375,2.031250,2.210938,1.036572,17780800
1987-05-01,2.203125,2.218750,1.875000,2.109375,0.988956,20392000
1987-06-01,2.109375,2.328125,2.109375,2.195313,1.029247,23889600
1987-07-01,2.195313,2.382813,2.195313,2.375000,1.113490,12499200
1987-08-01,2.375000,2.593750,2.312500,2.398438,1.126656,21620800
1987-09-01,2.406250,2.500000,2.226563,2.367188,1.111975,18348800
1987-10-01,2.351563,2.390625,1.406250,1.796875,0.844074,26924800
1987-11-01,1.781250,1.804688,1.476563,1.500000,0.706368,22009600
1987-12-01,1.562500,1.835938,1.453125,1.695313,0.798343,34177600
1988-01-01,1.656250,1.875000,1.625000,1.867188,0.879282,23822400
1988-02-01,1.867188,2.039063,1.804688,1.937500,0.915054,15160000
1988-03-01,1.945313,2.078125,1.859375,1.929688,0.911364,20625600
1988-04-01,1.929688,2.125000,1.835938,1.843750,0.870778,25120000
1988-05-01,1.843750,1.906250,1.765625,1.875000,0.887865,21572800
1988-06-01,1.859375,1.937500,1.757813,1.875000,0.887865,44406400
1988-07-01,1.890625,2.078125,1.843750,2.078125,0.984051,30094400
1988-08-01,2.078125,2.093750,1.921875,2.046875,0.971711,30296000
1988-09-01,2.054688,2.242188,2.000000,2.203125,1.045887,31697600
1988-10-01,2.234375,2.273438,2.156250,2.250000,1.068140,24726400
1988-11-01,2.234375,2.273438,2.070313,2.265625,1.077979,23328000
1988-12-01,2.250000,2.429688,2.242188,2.406250,1.144888,26569600
1989-01-01,2.406250,2.437500,2.289063,2.406250,1.144888,36379200
1989-02-01,2.421875,2.546875,2.398438,2.523438,1.203524,34427200
1989-03-01,2.523438,2.710938,2.476563,2.710938,1.292949,32016000
1989-04-01,2.710938,2.890625,2.664063,2.843750,1.356293,28243200
1989-05-01,2.812500,3.070313,2.789063,2.953125,1.411236,29225600
1989-06-01,2.953125,3.062500,2.906250,2.960938,1.414968,30848000
1989-07-01,2.960938,3.281250,2.914063,3.257813,1.556838,27092800
1989-08-01,3.242188,3.507813,3.195313,3.437500,1.645677,26080000
1989-09-01,3.437500,3.492188,3.281250,3.437500,1.645677,22022400
1989-10-01,3.429688,3.593750,3.156250,3.578125,1.713000,31024800
1989-11-01,3.578125,3.984375,3.500000,3.890625,1.866128,25431200
1989-12-01,3.859375,4.000000,3.531250,3.953125,1.896106,31719200
1990-01-01,3.921875,4.140625,3.500000,3.593750,1.723733,26368800
1990-02-01,3.609375,3.625000,3.203125,3.375000,1.621605,24132800
1990-03-01,3.375000,3.734375,3.312500,3.703125,1.779261,34256000
1990-04-01,3.656250,4.062500,3.640625,3.796875,1.824306,24013600
1990-05-01,3.812500,4.437500,3.687500,4.296875,2.067962,32015200
1990-06-01,4.328125,4.421875,4.000000,4.281250,2.060442,22412000
1990-07-01,4.296875,4.796875,4.250000,4.265625,2.052922,25300800
1990-08-01,4.250000,4.281250,3.484375,4.000000,1.927771,33544800
1990-09-01,3.968750,4.062500,3.625000,3.921875,1.890120,29488800
1990-10-01,3.937500,4.390625,3.828125,4.015625,1.935302,32181600
1990-11-01,3.875000,3.953125,3.687500,3.937500,1.900403,43571200
1990-12-01,3.968750,4.250000,3.953125,4.203125,2.028607,23914400
1991-01-01,4.125000,4.500000,3.750000,4.390625,2.119102,30836000
1991-02-01,4.375000,4.781250,4.234375,4.625000,2.237077,26112800
1991-03-01,4.625000,5.015625,4.250000,4.484375,2.169058,46120000
1991-04-01,4.515625,4.968750,4.421875,4.921875,2.380674,40469600
1991-05-01,4.921875,5.437500,4.812500,5.375000,2.604612,33021600
1991-06-01,5.343750,5.359375,5.046875,5.125000,2.483468,21803200
1991-07-01,5.187500,5.781250,5.140625,5.734375,2.778758,19540800
1991-08-01,5.734375,5.921875,5.218750,5.781250,2.805962,25909600
1991-09-01,5.781250,5.781250,5.015625,5.031250,2.441946,29042400
1991-10-01,4.968750,5.375000,4.734375,5.218750,2.532950,45691200
1991-11-01,5.218750,5.375000,4.984375,5.046875,2.453706,21200800
1991-12-01,5.015625,5.828125,4.984375,5.828125,2.833536,25334400
1992-01-01,5.796875,6.015625,5.250000,5.250000,2.552462,49623200
1992-02-01,5.218750,5.671875,5.140625,5.625000,2.741138,32017600
1992-03-01,5.687500,5.906250,5.437500,5.828125,2.840122,27040000
1992-04-01,5.796875,6.500000,5.687500,6.109375,2.977180,36228000
1992-05-01,6.125000,6.406250,5.906250,6.281250,3.066836,27154400
1992-06-01,6.250000,6.343750,5.937500,6.187500,3.021060,29086000
1992-07-01,6.187500,6.812500,5.906250,6.437500,3.143123,29055200
1992-08-01,6.468750,6.468750,6.000000,6.250000,3.059144,16342000
1992-09-01,6.250000,6.500000,6.031250,6.187500,3.028554,24740400
1992-10-01,6.156250,6.656250,5.875000,6.375000,3.120328,18738000
1992-11-01,6.437500,6.843750,6.375000,6.593750,3.234898,24580000
1992-12-01,6.562500,6.937500,6.281250,6.593750,3.234898,24182400
1993-01-01,6.593750,6.687500,5.812500,6.406250,3.142913,38156000
1993-02-01,6.468750,6.531250,6.062500,6.187500,3.044380,33146000
1993-03-01,6.250000,6.781250,6.218750,6.593750,3.244263,28633600
1993-04-01,6.562500,6.656250,5.562500,6.218750,3.059755,42969600
1993-05-01,6.281250,6.718750,6.218750,6.656250,3.284448,17867200
1993-06-01,6.656250,6.750000,6.281250,6.281250,3.099408,23060000
1993-07-01,6.312500,6.750000,5.937500,6.750000,3.330709,20154800
1993-08-01,6.750000,7.593750,6.531250,7.281250,3.602640,34884800
1993-09-01,7.281250,7.281250,6.812500,6.875000,3.401637,21819600
1993-10-01,6.875000,7.718750,6.875000,7.156250,3.540792,22542000
1993-11-01,7.156250,7.312500,6.750000,6.906250,3.425401,20427200
1993-12-01,6.968750,7.750000,6.843750,7.312500,3.626894,25328000
1994-01-01,7.250000,7.312500,6.718750,6.812500,3.378902,26908000
1994-02-01,6.812500,7.156250,6.625000,6.781250,3.374650,28618800
1994-03-01,6.781250,7.031250,6.281250,6.406250,3.188034,32887600
1994-04-01,6.281250,6.593750,6.000000,6.500000,3.234689,28144400
1994-05-01,6.437500,6.562500,6.093750,6.468750,3.230318,29010800
1994-06-01,6.468750,6.500000,5.656250,5.656250,2.824579,43636000
1994-07-01,5.718750,5.968750,5.281250,5.906250,2.949422,25939200
1994-08-01,5.968750,6.500000,5.781250,6.343750,3.181371,40958000
1994-09-01,6.375000,6.625000,6.218750,6.343750,3.181371,23982000
1994-10-01,6.343750,6.437500,5.906250,6.218750,3.118684,28072400
1994-11-01,6.218750,6.937500,6.031250,6.437500,3.240732,31926400
1994-12-01,6.406250,6.875000,6.281250,6.437500,3.240732,28226000
1995-01-01,6.406250,6.781250,6.218750,6.781250,3.413780,24458400
1995-02-01,6.781250,7.187500,6.687500,7.093750,3.586344,30269200
1995-03-01,7.062500,7.156250,6.562500,6.625000,3.349362,48374800
1995-04-01,6.593750,7.093750,6.562500,7.000000,3.538949,24086400
1995-05-01,7.000000,7.156250,6.625000,6.781250,3.441999,48838000
1995-06-01,6.718750,7.468750,6.718750,7.375000,3.743373,33113600
1995-07-01,7.312500,7.781250,7.250000,7.781250,3.949576,32770800
1995-08-01,7.781250,7.843750,6.906250,7.187500,3.661685,53575600
1995-09-01,7.218750,7.250000,6.718750,6.812500,3.470641,44634000
1995-10-01,6.843750,7.625000,6.687500,7.593750,3.868651,48733200
1995-11-01,7.562500,7.968750,7.343750,7.687500,3.930763,25398400
1995-12-01,7.593750,8.156250,7.531250,8.125000,4.154466,31076000
1996-01-01,8.062500,8.062500,7.375000,8.000000,4.090550,30576800
1996-02-01,8.000000,8.406250,7.812500,8.218750,4.220028,34760000
1996-03-01,8.312500,8.718750,8.125000,8.218750,4.220028,25268000
1996-04-01,8.281250,8.468750,7.875000,8.031250,4.123754,22596400
1996-05-01,8.000000,8.812500,7.687500,8.531250,4.397487,39639600
1996-06-01,8.500000,8.625000,8.125000,8.562500,4.413592,26712000
1996-07-01,8.562500,8.625000,6.906250,7.250000,3.737060,40490000
1996-08-01,7.250000,8.187500,7.218750,8.031250,4.155532,32096000
1996-09-01,8.031250,8.562500,7.906250,8.406250,4.349564,28391200
1996-10-01,8.375000,8.687500,8.093750,8.500000,4.398072,23530400
1996-11-01,8.531250,8.875000,8.437500,8.531250,4.431122,25947600
1996-12-01,8.468750,8.687500,7.906250,8.156250,4.236348,26879600
1997-01-01,8.218750,8.375000,7.312500,8.218750,4.287724,50114800
1997-02-01,8.218750,8.750000,8.156250,8.750000,4.564880,25059600
1997-03-01,8.593750,8.906250,8.375000,8.531250,4.450758,28309600
1997-04-01,8.531250,8.906250,8.250000,8.875000,4.630091,18709200
1997-05-01,8.875000,8.937500,8.250000,8.718750,4.568810,40159600
