Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,9.007279,9.274266,8.740293,9.246162,1.507251,33320184
1985-02-01,9.232110,9.541252,9.105643,9.344526,1.523286,26217060
1985-03-01,9.344526,9.569356,9.161851,9.344526,1.523286,23696055
1985-04-01,9.344526,9.892550,9.274266,9.794187,1.629219,14820045
1985-05-01,9.794187,10.215744,9.611512,10.103329,1.680644,19313198
1985-06-01,10.103329,10.510835,10.103329,10.412471,1.732068,33997134
1985-07-01,10.412471,10.904288,9.808239,9.948758,1.657974,27071033
1985-08-01,9.962810,10.300056,9.752031,10.243848,1.707152,19822916
1985-09-01,10.243848,10.468679,9.625564,9.667720,1.611139,35388407
1985-10-01,9.667720,10.426523,9.611512,10.215744,1.735152,23112503
1985-11-01,10.215744,11.213431,10.201693,11.185327,1.899837,28922209
1985-12-01,11.185327,12.070598,11.129119,11.972234,2.033493,29308279
1986-01-01,11.972234,12.449999,11.241534,12.365688,2.135055,24748402
1986-02-01,12.534311,13.012076,12.140857,12.899661,2.227252,22952385
1986-03-01,12.899661,14.220541,12.801297,13.967607,2.411640,31275089
1986-04-01,13.967607,14.951241,13.377426,14.332956,2.511326,22194034
1986-05-01,14.220541,15.344695,13.602257,15.288487,2.678746,22801603
1986-06-01,15.260383,16.187811,14.670202,15.625733,2.737839,30655511
1986-07-01,15.597629,16.525057,15.316591,16.525057,2.932718,22511607
1986-08-01,16.749886,17.311962,15.822460,16.974716,3.012518,28399147
1986-09-01,16.862303,17.087132,13.939503,14.473476,2.568621,38029506
1986-10-01,14.585891,15.063656,14.220541,15.035552,2.703703,21272005
1986-11-01,15.119864,15.681941,14.642099,15.541421,2.794668,18652260
1986-12-01,15.485214,16.412640,15.176072,15.176072,2.728971,44211495
1987-01-01,15.457110,16.946613,15.400902,16.777990,3.055424,26624924
1987-02-01,16.834198,17.002821,15.457110,16.272121,2.963299,30443797
1987-03-01,16.328329,16.328329,15.119864,15.176072,2.763699,34912940
1987-04-01,15.063656,15.457110,13.827087,14.838825,2.739059,34222642
1987-05-01,14.866929,15.176072,13.827087,15.007448,2.770186,23218361
1987-06-01,15.063656,16.244017,14.838825,15.316591,2.827249,29003604
1987-07-01,15.232279,15.513318,14.473476,15.344695,2.871052,25854123
1987-08-01,15.344695,17.396275,15.147968,16.974716,3.176037,33188973
1987-09-01,17.059029,17.930246,16.131601,17.227652,3.223360,37436171
1987-10-01,17.340067,17.874041,13.602257,16.215914,3.071323,46371338
1987-11-01,16.019188,16.806093,14.361060,14.726410,2.789210,25040621
1987-12-01,14.670202,15.766252,14.248645,14.613995,2.767920,40662154
1988-01-01,14.557787,16.356434,13.995710,16.356434,3.141489,25217643
1988-02-01,16.412640,16.525057,15.569525,16.244017,3.119899,21460593
1988-03-01,16.244017,16.300224,14.613995,14.866929,2.855409,26672515
1988-04-01,14.810722,15.569525,14.417268,15.147968,2.952800,17057724
1988-05-01,15.176072,16.159706,14.613995,16.159706,3.150019,15813235
1988-06-01,16.300224,16.749886,15.850564,16.159706,3.150019,31293770
1988-07-01,16.300224,16.468847,15.344695,15.991083,3.160790,17409548
1988-08-01,16.019188,16.244017,15.316591,15.457110,3.055246,18191021
1988-09-01,15.429006,16.356434,15.232279,16.187811,3.199675,34357854
1988-10-01,16.187811,16.665575,15.962979,16.553160,3.319157,17228522
1988-11-01,16.553160,16.609367,15.625733,15.906771,3.189546,16673433
1988-12-01,15.850564,16.609367,15.710044,15.991083,3.206454,31439657
1989-01-01,15.906771,17.030926,15.597629,16.862303,3.429904,18688284
1989-02-01,16.918509,17.002821,16.300224,16.440744,3.344157,18557964
1989-03-01,16.496952,17.171444,16.272121,17.143339,3.487071,21354291
1989-04-01,17.143339,18.773363,16.834198,18.745258,3.812911,22537402
1989-05-01,18.717155,19.841309,18.126974,19.532166,4.030648,22342588
1989-06-01,19.447855,20.768736,19.166817,19.672686,4.059643,25645965
1989-07-01,19.532166,21.555641,19.447855,21.555641,4.448208,25341293
1989-08-01,21.639954,22.370653,21.190292,21.949097,4.587071,21086089
1989-09-01,21.892887,22.567381,21.415123,22.426861,4.686913,23357577
1989-10-01,22.426861,23.522911,21.696161,22.988937,4.804382,31147438
1989-11-01,23.129457,23.354288,22.736004,23.157560,4.893588,17618590
1989-12-01,23.269976,25.237246,23.269976,25.012415,5.285546,17148460
1990-01-01,25.124830,25.686907,21.105982,21.977200,4.644154,32038774
1990-02-01,22.089615,22.202030,19.335440,20.206657,4.311708,19154861
1990-03-01,20.206657,21.415123,19.728893,21.218395,4.527591,20446053
1990-04-01,21.077877,22.145823,20.740631,21.021669,4.485613,17385525
1990-05-01,21.134085,24.169298,21.077877,23.438599,5.063012,17091973
1990-06-01,23.326183,23.775845,21.583746,22.314445,4.820178,13525733
1990-07-01,22.314445,22.820314,20.178555,22.202030,4.795895,19625432
1990-08-01,22.145823,22.595484,17.761623,19.223024,4.201236,18514599
1990-09-01,18.941986,21.471331,18.098869,21.246500,4.643474,14596762
1990-10-01,21.302708,23.775845,20.684423,23.494806,5.134848,26233296
1990-11-01,23.663429,24.506544,22.370653,24.450336,5.407979,18585541
1990-12-01,24.506544,25.293453,23.944468,24.113091,5.333382,13768137
1991-01-01,24.000675,24.337921,21.415123,21.808577,4.823662,19219351
1991-02-01,21.808577,23.663429,21.527538,22.033407,4.929187,18644253
1991-03-01,21.920992,23.382393,21.021669,23.101353,5.168102,22145333
1991-04-01,22.988937,23.719639,21.302708,22.483068,5.029786,19129506
1991-05-01,22.483068,22.651691,20.178555,21.190292,4.799135,20242121
1991-06-01,21.134085,21.246500,19.841309,21.246500,4.811868,17748469
1991-07-01,21.639954,22.202030,20.684423,21.527538,4.875516,14426188
1991-08-01,21.527538,22.651691,20.290970,22.426861,5.146922,15511003
1991-09-01,22.426861,22.764107,20.178555,20.459593,4.695437,17733122
1991-10-01,20.515800,21.246500,19.335440,21.134085,4.850233,22216940
1991-11-01,21.134085,21.134085,20.066139,20.403385,4.749214,18501034
1991-12-01,20.234762,22.145823,20.066139,21.696161,5.050128,23868628
1992-01-01,21.696161,22.033407,20.290970,20.740631,4.827714,27675934
1992-02-01,20.853046,20.909254,19.391647,19.560270,4.612885,21967418
1992-03-01,19.504063,19.616478,18.548532,18.660948,4.400796,26695866
1992-04-01,18.548532,20.009932,18.098869,19.953724,4.705673,33279487
1992-05-01,20.009932,20.234762,19.054401,19.391647,4.646335,27873420
1992-06-01,19.391647,20.234762,19.279232,20.009932,4.794478,20042414
1992-07-01,20.122347,21.527538,19.897516,21.358915,5.117699,27878755
1992-08-01,21.302708,22.370653,21.190292,21.808577,5.302460,21135683
1992-09-01,21.752369,22.202030,21.415123,21.920992,5.329792,23710953
1992-10-01,21.864784,21.920992,20.628216,21.415123,5.206797,25957756
1992-11-01,21.302708,21.696161,20.009932,21.134085,5.208634,20898614
1992-12-01,21.246500,24.225508,21.021669,23.045147,5.679628,22137993
1993-01-01,23.157560,24.169298,22.314445,23.213770,5.721187,24608073
1993-02-01,23.213770,25.518284,23.213770,25.012415,6.243078,18394953
1993-03-01,24.787582,25.237246,23.382393,25.181038,6.285168,23495236
1993-04-01,25.181038,25.349661,22.820314,23.101353,5.766081,19773769
1993-05-01,23.101353,24.675167,22.932730,24.394131,6.162659,19780220
1993-06-01,24.281713,26.698645,24.225508,26.698645,6.744841,19956795
1993-07-01,26.754852,27.035891,25.462076,26.754852,6.759036,16278026
1993-08-01,26.698645,28.834536,25.012415,28.834536,7.368457,21234871
1993-09-01,28.665913,29.171782,27.373137,28.665913,7.325365,22551635
1993-10-01,28.609705,31.082844,26.473814,28.609705,7.311008,60100560
1993-11-01,28.441082,29.003159,25.630699,26.979683,6.894467,34484170
1993-12-01,27.092098,27.879005,26.530022,26.642437,6.808280,22152003
1994-01-01,26.698645,26.811060,23.944468,25.518284,6.521016,37963012
1994-02-01,25.293453,25.349661,23.494806,24.618959,6.363932,28092918
1994-03-01,24.562754,24.675167,22.932730,23.269976,6.015220,31853968
1994-04-01,22.820314,24.843790,22.033407,23.269976,6.015220,27811373
1994-05-01,23.326183,24.450336,22.539276,24.000675,6.288985,20031964
1994-06-01,23.944468,25.518284,23.775845,25.181038,6.598277,21698996
1994-07-01,25.181038,25.743114,24.562754,25.462076,6.671921,16612501
1994-08-01,25.574492,26.248983,24.506544,24.618959,6.532021,19090144
1994-09-01,24.562754,24.787582,23.494806,23.832052,6.323236,19473766
1994-10-01,23.944468,23.944468,22.258238,23.551016,6.248672,19934333
1994-11-01,23.438599,23.775845,22.314445,22.539276,6.059301,19387255
1994-12-01,22.426861,23.269976,21.752369,22.370653,6.013973,18196135
1995-01-01,22.370653,25.068623,21.752369,24.394131,6.557943,22762239
1995-02-01,24.506544,24.787582,23.185665,24.113091,6.572418,19247592
1995-03-01,24.000675,24.900000,22.820314,23.775845,6.480498,25898823
1995-04-01,23.832052,24.675167,23.382393,24.562754,6.694981,20501649
1995-05-01,24.731377,25.686907,23.663429,24.956205,6.891766,22869877
1995-06-01,24.956205,26.473814,23.944468,25.181038,6.953856,22745338
1995-07-01,25.181038,26.417606,24.675167,25.743114,7.109072,23050013
1995-08-01,25.743114,26.923475,25.293453,26.754852,7.480745,18361151
1995-09-01,26.530022,27.822798,26.024153,27.597967,7.716482,22886776
1995-10-01,27.597967,29.509027,26.530022,28.553497,7.983654,25694889
1995-11-01,28.609705,29.452820,27.822798,28.328667,8.011984,16519321
1995-12-01,28.553497,30.970427,28.497290,30.071104,8.504782,21126564
1996-01-01,29.958689,31.982166,29.902481,30.970427,8.759130,29370768
1996-02-01,30.801804,33.668396,29.115574,29.733858,8.495118,35225395
1996-03-01,29.846273,29.958689,27.485552,27.822798,7.949121,35212498
1996-04-01,28.216251,30.464558,26.530022,29.227989,8.350589,38544338
1996-05-01,29.003159,29.509027,27.710382,28.047628,8.107508,25193623
1996-06-01,27.935213,28.665913,26.979683,28.665913,8.286230,21549995
1996-07-01,28.553497,28.778328,25.799322,26.586229,7.685072,28319978
1996-08-01,26.642437,27.879005,25.124830,25.293453,7.397633,26633819
1996-09-01,25.012415,27.148306,24.787582,26.923475,7.874373,32536929
1996-10-01,26.754852,28.216251,26.305191,27.092098,7.923689,36768557
1996-11-01,27.148306,28.497290,27.092098,28.272459,8.365667,22446001
1996-12-01,28.103836,30.576975,26.642437,29.115574,8.615141,33575933
1997-01-01,29.171782,30.801804,28.384874,30.239729,8.947776,41905534
1997-02-01,29.958689,32.094582,29.958689,31.082844,9.299667,32081031
1997-03-01,30.914221,31.082844,26.642437,27.316929,8.172943,39678527
1997-04-01,27.148306,30.520765,25.518284,30.464558,9.114683,59093353
1997-05-01,30.464558,31.588713,30.071104,31.476295,9.532319,36646686
1997-06-01,31.925959,35.186005,31.644918,34.118057,10.332350,43535873
1997-07-01,34.230473,34.342888,30.576975,32.628555,9.881271,45123290
1997-08-01,32.628555,34.455303,32.010269,32.544243,9.855736,48540973
1997-09-01,32.572346,36.731712,32.572346,36.169636,10.953653,70397420
1997-10-01,36.366364,38.333633,33.612186,35.972912,10.894074,71388830
1997-11-01,36.310158,40.385212,35.270313,40.132278,12.265306,57279324
1997-12-01,39.907448,41.256432,39.457787,40.919186,12.505803,63869395
1998-01-01,41.593678,41.987129,38.108803,41.621780,12.720528,65932502
1998-02-01,41.987129,42.183857,39.401577,40.357109,12.440081,52562664
1998-03-01,40.300900,47.664104,40.272797,45.977875,14.172685,65157254
1998-04-01,46.034084,46.427536,40.919186,42.071442,12.968525,70505943
1998-05-01,42.605415,45.050449,40.188484,41.200226,12.797604,57046927
1998-06-01,41.818508,44.263542,40.469524,41.031601,12.745223,59824460
1998-07-01,41.368847,42.717831,38.727085,40.778667,12.666648,60595377
1998-08-01,40.919186,42.155754,36.366364,39.682617,12.428278,58136636
1998-09-01,39.682617,45.359592,36.534988,43.560947,13.642941,57911579
1998-10-01,43.392323,48.113766,42.942661,47.832729,14.980830,66327134
1998-11-01,48.563431,52.947628,47.776520,50.024830,15.784247,40518824
1998-12-01,49.462753,55.027309,46.820992,48.563431,15.323128,50455079
1999-01-01,49.462753,53.959366,45.977875,53.959366,17.025694,98739301
1999-02-01,53.622120,54.352818,50.362076,51.823475,16.467028,59500553
1999-03-01,51.261398,51.542435,45.528214,46.483746,14.770319,62598994
1999-04-01,46.258915,53.790741,45.809254,51.823475,16.467028,65386314
1999-05-01,51.935890,54.071781,48.619637,49.237923,15.760774,82191737
1999-06-01,49.237923,58.793224,48.338596,58.793224,18.819370,61434787
1999-07-01,56.657333,60.198418,55.364555,57.556656,18.423548,53818610
1999-08-01,57.781487,58.905640,54.521442,55.139729,17.759590,66557862
1999-09-01,55.139729,61.322571,54.184196,60.535664,19.497524,65375750
1999-10-01,60.535664,62.502934,55.645596,58.399773,18.809593,70587115
1999-11-01,58.624603,58.849434,55.364555,57.359928,18.583807,57829962
1999-12-01,56.882164,60.479454,53.228664,55.364555,17.937340,79838634
2000-01-01,54.521442,56.657333,49.968620,55.701801,18.046597,85704604
2000-02-01,54.633858,55.195934,42.605415,44.010609,14.351000,76471877
2000-03-01,47.776520,56.825958,46.877197,54.971104,17.925005,100295585
